month,faccao,milicia
2016/01/01 00:00:00,230,198
2016/02/01 00:00:00,166,134
2016/03/01 00:00:00,165,174
2016/04/01 00:00:00,183,150
2016/05/01 00:00:00,187,208
2016/06/01 00:00:00,234,256
2016/07/01 00:00:00,248,192
2016/08/01 00:00:00,207,211
2016/09/01 00:00:00,258,275
2016/10/01 00:00:00,214,278
2016/11/01 00:00:00,281,210
2016/12/01 00:00:00,247,240
2017/01/01 00:00:00,260,201
2017/02/01 00:00:00,188,208
2017/03/01 00:00:00,370,373
2017/04/01 00:00:00,321,298
2017/05/01 00:00:00,350,301
2017/06/01 00:00:00,294,260
2017/07/01 00:00:00,257,305
2017/08/01 00:00:00,344,374
2017/09/01 00:00:00,415,397
2017/10/01 00:00:00,379,397
2017/11/01 00:00:00,342,370
2017/12/01 00:00:00,269,363
