MILÍCIA-RIO DE JANEIRO-ZUMBI,2
FACÇÃO-SÃO GONÇALO-ZÉ GAROTO,1
MILÍCIA-DUQUE DE CAXIAS-XERÉM,6
MILÍCIA-BELFORD ROXO-XAVANTES,1
MILÍCIA-BELFORD ROXO-WONA,10
FACÇÃO-BELFORD ROXO-WONA,3
FACÇÃO-ITAGUAÍ-WEDA,1
FACÇÃO-SÃO GONÇALO-VISTA ALEGRE,15
MILÍCIA-SÃO GONÇALO-VISTA ALEGRE,1
FACÇÃO-SÃO JOÃO DE MERITI-VILAR FORMOSO,5
MILÍCIA-SÃO JOÃO DE MERITI-VILAR DOS TELES,63
FACÇÃO-SÃO JOÃO DE MERITI-VILAR DOS TELES,2
FACÇÃO-SÃO JOÃO DE MERITI-VILA ZULMIRA,3
FACÇÃO-BELFORD ROXO-VILA VITORIO,7
FACÇÃO-BELFORD ROXO-VILA VERDE,2
MILÍCIA-RIO DE JANEIRO-VILA VALQUEIRE,49
FACÇÃO-RIO DE JANEIRO-VILA VALQUEIRE,1
MILÍCIA-DUQUE DE CAXIAS-VILA URUSSAÍ,25
FACÇÃO-DUQUE DE CAXIAS-VILA URUSSAÍ,2
FACÇÃO-SÃO GONÇALO-VILA TRÊS,8
FACÇÃO-SÃO JOÃO DE MERITI-VILA TIRADENTES,32
MILÍCIA-QUEIMADOS-VILA TARUMÃ,1
MILÍCIA-DUQUE DE CAXIAS-VILA SHEILA,1
MILÍCIA-DUQUE DE CAXIAS-VILA SARAPUÍ,5
FACÇÃO-DUQUE DE CAXIAS-VILA SARAPUÍ,1
FACÇÃO-DUQUE DE CAXIAS-VILA SAPÊ,3
MILÍCIA-DUQUE DE CAXIAS-VILA SAPÊ,1
MILÍCIA-NOVA IGUAÇU-VILA SÃO TEODORO,2
MILÍCIA-DUQUE DE CAXIAS-VILA SÃO SEBASTIÃO,1
MILÍCIA-DUQUE DE CAXIAS-VILA SÃO LUIS,8
FACÇÃO-NOVA IGUAÇU-VILA SÃO LUIS,2
FACÇÃO-DUQUE DE CAXIAS-VILA SÃO LUIS,1
MILÍCIA-NOVA IGUAÇU-VILA SÃO LUIS,1
