Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,CRB
February,Economy,UK,UK,59,EASYJET,CRB
February,Economy,UK,UK,72,FLYBE BRITISH EUROPEAN,CRB
February,Economy,UK,UK,59,EASYJET,CRB
January,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,277,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,102,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,157,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,296,BMI,IPS
January,Economy,UK,UK,71,EASYJET,IPS
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,117,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,308,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,296,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,101,EASYJET,IPS
January,Economy,UK,UK,59,EASYJET,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,79,EASYJET,IPS
January,Economy,UK,UK,76,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,45,EASYJET,IPS
January,Economy,UK,Non EEA,91,EASYJET,IPS
January,Economy,UK,UK,55,EASYJET,IPS
January,Economy,UK,UK,196,BMI,IPS
January,Economy,UK,UK,100,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,124,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,132,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,146,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,275,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,182,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,489,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,104,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,132,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,177,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,157,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,235,BMI,IPS
January,Economy,UK,UK,199,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,207,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,64,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,229,EASTERN AIRWAYS,IPS
January,Economy,UK,UK,277,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,291,BMI,IPS
January,Economy,UK,UK,132,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,92,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,92,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,159,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,110,BMI BABY,IPS
January,Business Class,UK,UK,123,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,308,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,67,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,49,EASYJET,IPS
January,Economy,UK,UK,150,MANX2,IPS
January,Economy,UK,UK,296,BMI,IPS
January,Economy,UK,UK,218,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,89,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,87,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,151,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,130,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,91,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,54,EASYJET,IPS
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,Non EEA,389,KLM-ROYAL DUTCH AIRLINES,IPS
January,Economy,UK,EEA,271,LOT-POLISH AIRLINES,IPS
January,Economy,UK,UK,36,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,255,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,75,EASYJET,IPS
February,Economy,UK,UK,147,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,157,BMI,IPS
March,Economy,UK,UK,126,AIR SOUTHWEST,IPS
January,Economy,UK,UK,92,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,162,BMI,IPS
January,Economy,UK,UK,277,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,199,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,254,BMI,IPS
January,Economy,UK,UK,45,EASYJET,IPS
February,Economy,UK,UK,67,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,111,EASYJET,IPS
January,Economy,UK,UK,212,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,491,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,10,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,147,BRITISH AIRWAYS,IPS
February,Economy,UK,Non EEA,772,QATAR AIRWAYS,IPS
January,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,43,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,170,MANX2,IPS
January,Economy,UK,UK,87,EASYJET,IPS
January,Economy,UK,UK,255,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,84,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,49,EASYJET,IPS
January,Economy,UK,UK,82,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,132,EASYJET,IPS
January,Economy,UK,UK,96,BMI,IPS
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,98,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,126,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,95,EASYJET,IPS
January,Economy,UK,UK,93,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,94,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,54,EASYJET,IPS
January,Business Class,UK,UK,259,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,207,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,36,BMI,IPS
February,Economy,UK,UK,69,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,31,BMI,IPS
February,Economy,UK,UK,87,BRITISH AIRWAYS,IPS
February,Economy,UK,EEA,114,RYANAIR,IPS
January,Economy,UK,UK,212,BMI,IPS
February,Economy,UK,EEA,114,RYANAIR,IPS
February,Economy,UK,UK,71,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,263,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,88,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,130,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,222,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,186,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,296,BMI,IPS
January,Economy,UK,UK,142,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,196,BMI,IPS
January,Economy,UK,UK,128,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,Non EEA,385,KLM-ROYAL DUTCH AIRLINES,IPS
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
February,Economy,UK,Non EEA,772,QATAR AIRWAYS,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
February,Economy,UK,UK,58,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,58,EASYJET,IPS
February,Economy,UK,UK,24,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,617,QANTAS AIRWAYS,IPS
February,Economy,UK,UK,87,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,152,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,105,BRITISH AIRWAYS,IPS
February,Business Class,UK,UK,162,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,115,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,63,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,161,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,137,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,143,BMI,IPS
February,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,137,FLYBE BRITISH EUROPEAN,IPS
February,Business Class,UK,UK,162,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,101,EASYJET,IPS
