cidade,bairro,org,value
RIO DE JANEIRO,ZUMBI,milícia,2
SÃO GONÇALO,ZÉ GAROTO,facção,1
DUQUE DE CAXIAS,XERÉM,milícia,6
BELFORD ROXO,XAVANTES,milícia,1
BELFORD ROXO,WONA,facção,3
BELFORD ROXO,WONA,milícia,10
ITAGUAÍ,WEDA,facção,1
SÃO GONÇALO,VISTA ALEGRE,facção,15
SÃO GONÇALO,VISTA ALEGRE,milícia,1
SÃO JOÃO DE MERITI,VILAR FORMOSO,facção,5
SÃO JOÃO DE MERITI,VILAR DOS TELES,facção,2
SÃO JOÃO DE MERITI,VILAR DOS TELES,milícia,63
SÃO JOÃO DE MERITI,VILA ZULMIRA,facção,3
BELFORD ROXO,VILA VITORIO,facção,7
BELFORD ROXO,VILA VERDE,facção,2
RIO DE JANEIRO,VILA VALQUEIRE,facção,1
RIO DE JANEIRO,VILA VALQUEIRE,milícia,49
DUQUE DE CAXIAS,VILA URUSSAÍ,facção,2
DUQUE DE CAXIAS,VILA URUSSAÍ,milícia,25
SÃO GONÇALO,VILA TRÊS,facção,8
SÃO JOÃO DE MERITI,VILA TIRADENTES,facção,32
QUEIMADOS,VILA TARUMÃ,milícia,1
DUQUE DE CAXIAS,VILA SHEILA,milícia,1
DUQUE DE CAXIAS,VILA SARAPUÍ,facção,1
DUQUE DE CAXIAS,VILA SARAPUÍ,milícia,5
DUQUE DE CAXIAS,VILA SAPÊ,facção,3
DUQUE DE CAXIAS,VILA SAPÊ,milícia,1
NOVA IGUAÇU,VILA SÃO TEODORO,milícia,2
DUQUE DE CAXIAS,VILA SÃO SEBASTIÃO,milícia,1
DUQUE DE CAXIAS,VILA SÃO LUIS,facção,1
DUQUE DE CAXIAS,VILA SÃO LUIS,milícia,8
NOVA IGUAÇU,VILA SÃO LUIS,facção,2
NOVA IGUAÇU,VILA SÃO LUIS,milícia,1
DUQUE DE CAXIAS,VILA SÃO JUDAS TADEU,facção,12
SÃO JOÃO DE MERITI,VILA SÃO JOÃO,facção,5
SÃO JOÃO DE MERITI,VILA SÃO JOÃO,milícia,4
NOVA IGUAÇU,VILA SANTOS NETO,milícia,7
BELFORD ROXO,VILA SANTO ANTÔNIO,facção,6
DUQUE DE CAXIAS,VILA SANTO ANTÔNIO,facção,30
DUQUE DE CAXIAS,VILA SANTO ANTÔNIO,milícia,22
BELFORD ROXO,VILA SANTA TERESA,facção,45
BELFORD ROXO,VILA SANTA TERESA,milícia,1
BELFORD ROXO,VILA SANTA RITA,facção,1
SÃO JOÃO DE MERITI,VILA SANTA RITA,milícia,1
DUQUE DE CAXIAS,VILA SANTA CRUZ,facção,60
DUQUE DE CAXIAS,VILA SANTA CRUZ,milícia,5
DUQUE DE CAXIAS,VILA SANTA ALICE,milícia,1
DUQUE DE CAXIAS,VILA ROSÁRIO,facção,37
DUQUE DE CAXIAS,VILA ROSÁRIO,milícia,2
SÃO JOÃO DE MERITI,VILA ROSALI,facção,4
SÃO JOÃO DE MERITI,VILA ROSALI,milícia,2
NOVA IGUAÇU,VILA ÔMEGA,milícia,1
NOVA IGUAÇU,VILA OLORUM,facção,1
